Include	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
	CL04MM	Military Museum	C	L	4	MM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Military Museum
	CL04SM	Science Museum	C	L	4	SM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Science Museum
	CL04TM	Transport Museum	C	L	4	TM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Transport Museum
	CL04NM	Maritime Museum	C	L	4	NM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Maritime Museum
	CL06	Indoor / Outdoor Leisure / Sporting Activity / Centre	C	L	6		Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	
	CL06AH	Athletics Facility	C	L	6	AH	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Athletics Facility
	CL06BF	Bowls Facility	C	L	6	BF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Bowls Facility
	CL06CK	Cricket Facility	C	L	6	CK	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Cricket Facility
	CL06CU	Curling Facility	C	L	6	CU	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Curling Facility
	CL06YF	Cycling Sports Facility	C	L	6	YF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Cycling Sports Facility
	CL06DS	Diving / Swimming Facility	C	L	6	DS	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Diving / Swimming Facility
	CL06EQ	Equestrian Sports Facility	C	L	6	EQ	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Equestrian Sports Facility
	CL06FB	Football Facility	C	L	6	FB	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Football Facility
	CL06FI	Fishing / Angling Facility	C	L	6	FI	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Fishing / Angling Facility
	CL06GF	Golf Facility	C	L	6	GF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Golf Facility
	CL06GL	Gliding Facility	C	L	6	GL	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Gliding Facility
	CL06GR	Greyhound Racing Facility	C	L	6	GR	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Greyhound Racing Facility
	CL06HF	Hockey Facility	C	L	6	HF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Hockey Facility
	CL06HR	Horse Racing Facility	C	L	6	HR	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Horse Racing Facility
	CL06HV	Historic Vessel / Aircraft / Vehicle	C	L	6	HV	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Historic Vessel / Aircraft / Vehicle
	CL06LS	Activity / Leisure / Sports Centre	C	L	6	LS	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Activity / Leisure / Sports Centre
	CL06ME	Model Sports Facility	C	L	6	ME	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Model Sports Facility
	CL06MF	Motor Sports Facility	C	L	6	MF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Motor Sports Facility
	CL06PF	Playing Field	C	L	6	PF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Playing Field
	CL06QS	Racquet Sports Facility	C	L	6	QS	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Racquet Sports Facility
	CL06RF	Rugby Facility	C	L	6	RF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Rugby Facility
	CL06RG	Recreation Ground	C	L	6	RG	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Recreation Ground
	CL06SI	Shinty Facility	C	L	6	SI	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Shinty Facility
	CL06SK	Skateboarding Facility	C	L	6	SK	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Skateboarding Facility
	CL06SX	Civilian Firing Facility	C	L	6	SX	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Civilian Firing Facility
	CL06TB	Tenpin Bowling Facility	C	L	6	TB	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Tenpin Bowling Facility
	CL06TN	Public Tennis Court	C	L	6	TN	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Public Tennis Court
	CL06WA	Water Sports Facility	C	L	6	WA	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Water Sports Facility
	CL06WP	Winter Sports Facility	C	L	6	WP	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Winter Sports Facility
	CL06WY	Wildlife Sports Facility	C	L	6	WY	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Wildlife Sports Facility
	CL07	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	C	L	7		Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	
	CL07TH	Theatre	C	L	7	TH	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Theatre
	CL07CI	Cinema	C	L	7	CI	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Cinema
	CL07EN	Entertainment Complex	C	L	7	EN	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Entertainment Complex
	CL07EX	Conference / Exhibition Centre	C	L	7	EX	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Conference / Exhibition Centre
	CL08	Zoo / Theme Park	C	L	8		Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	
	CL08AK	Amusement Park	C	L	8	AK	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Amusement Park
	CL08MX	Model Village Site	C	L	8	MX	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Model Village Site
	CL08WZ	Wildlife / Zoological Park	C	L	8	WZ	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Wildlife / Zoological Park
	CL08AQ	Aquatic Attraction	C	L	8	AQ	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Aquatic Attraction
	CL09	"Beach Hut (Recreational, Non-Residential Use Only)"	C	L	9		Commercial	Leisure - Applicable to recreational sites and enterprises	"Beach Hut (Recreational, Non-Residential Use Only)"	
	CL10	Licensed Private Members’ Club	C	L	10		Commercial	Leisure - Applicable to recreational sites and enterprises	Licensed Private Members’ Club	
	CL10RE	Recreational / Social Club	C	L	10	RE	Commercial	Leisure - Applicable to recreational sites and enterprises	Licensed Private Members’ Club	Recreational / Social Club
	CL11	Arena / Stadium	C	L	11		Commercial	Leisure - Applicable to recreational sites and enterprises	Arena / Stadium	
	CL11SD	Stadium	C	L	11	SD	Commercial	Leisure - Applicable to recreational sites and enterprises	Arena / Stadium	Stadium
	CL11SJ	Showground	C	L	11	SJ	Commercial	Leisure - Applicable to recreational sites and enterprises	Arena / Stadium	Showground
Y	CM	Medical	C	M			Commercial	Medical		
Y	CM01	Dentist	C	M	1		Commercial	Medical	Dentist	
Y	CM02	General Practice Surgery / Clinic	C	M	2		Commercial	Medical	General Practice Surgery / Clinic	
Y	CM02HL	Health Care Services	C	M	2	HL	Commercial	Medical	General Practice Surgery / Clinic	Health Care Services
Y	CM02HC	Health Centre	C	M	2	HC	Commercial	Medical	General Practice Surgery / Clinic	Health Centre
Y	CM03	Hospital / Hospice	C	M	3		Commercial	Medical	Hospital / Hospice	
Y	CM03HI	Hospice	C	M	3	HI	Commercial	Medical	Hospital / Hospice	Hospice
Y	CM03HP	Hospital	C	M	3	HP	Commercial	Medical	Hospital / Hospice	Hospital
