Commercial	Prefferrd Residential	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
Y	N	CL06QS	Racquet Sports Facility	C	L	6	QS	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Racquet Sports Facility
Y	N	CL06RF	Rugby Facility	C	L	6	RF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Rugby Facility
Y	N	CL06RG	Recreation Ground	C	L	6	RG	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Recreation Ground
Y	N	CL06SI	Shinty Facility	C	L	6	SI	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Shinty Facility
Y	N	CL06SK	Skateboarding Facility	C	L	6	SK	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Skateboarding Facility
Y	N	CL06SX	Civilian Firing Facility	C	L	6	SX	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Civilian Firing Facility
Y	N	CL06TB	Tenpin Bowling Facility	C	L	6	TB	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Tenpin Bowling Facility
Y	N	CL06TN	Public Tennis Court	C	L	6	TN	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Public Tennis Court
Y	N	CL06WA	Water Sports Facility	C	L	6	WA	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Water Sports Facility
Y	N	CL06WP	Winter Sports Facility	C	L	6	WP	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Winter Sports Facility
Y	N	CL06WY	Wildlife Sports Facility	C	L	6	WY	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Wildlife Sports Facility
Y	N	CL07	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	C	L	7		Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	
Y	N	CL07TH	Theatre	C	L	7	TH	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Theatre
Y	N	CL07CI	Cinema	C	L	7	CI	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Cinema
Y	N	CL07EN	Entertainment Complex	C	L	7	EN	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Entertainment Complex
Y	N	CL07EX	Conference / Exhibition Centre	C	L	7	EX	Commercial	Leisure - Applicable to recreational sites and enterprises	Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall	Conference / Exhibition Centre
Y		CL08	Zoo / Theme Park	C	L	8		Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	
Y		CL08AK	Amusement Park	C	L	8	AK	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Amusement Park
Y		CL08MX	Model Village Site	C	L	8	MX	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Model Village Site
Y		CL08WZ	Wildlife / Zoological Park	C	L	8	WZ	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Wildlife / Zoological Park
Y		CL08AQ	Aquatic Attraction	C	L	8	AQ	Commercial	Leisure - Applicable to recreational sites and enterprises	Zoo / Theme Park	Aquatic Attraction
Y	N	CL09	"Beach Hut (Recreational, Non-Residential Use Only)"	C	L	9		Commercial	Leisure - Applicable to recreational sites and enterprises	"Beach Hut (Recreational, Non-Residential Use Only)"	
Y		CL10	Licensed Private Members’ Club	C	L	10		Commercial	Leisure - Applicable to recreational sites and enterprises	Licensed Private Members’ Club	
Y		CL10RE	Recreational / Social Club	C	L	10	RE	Commercial	Leisure - Applicable to recreational sites and enterprises	Licensed Private Members’ Club	Recreational / Social Club
Y	N	CL11	Arena / Stadium	C	L	11		Commercial	Leisure - Applicable to recreational sites and enterprises	Arena / Stadium	
Y	N	CL11SD	Stadium	C	L	11	SD	Commercial	Leisure - Applicable to recreational sites and enterprises	Arena / Stadium	Stadium
Y	N	CL11SJ	Showground	C	L	11	SJ	Commercial	Leisure - Applicable to recreational sites and enterprises	Arena / Stadium	Showground
Y	Y	CM	Medical	C	M			Commercial	Medical		
Y	Y	CM01	Dentist	C	M	1		Commercial	Medical	Dentist	
Y	Y	CM02	General Practice Surgery / Clinic	C	M	2		Commercial	Medical	General Practice Surgery / Clinic	
Y	Y	CM02HL	Health Care Services	C	M	2	HL	Commercial	Medical	General Practice Surgery / Clinic	Health Care Services
Y	Y	CM02HC	Health Centre	C	M	2	HC	Commercial	Medical	General Practice Surgery / Clinic	Health Centre
Y	Y	CM03	Hospital / Hospice	C	M	3		Commercial	Medical	Hospital / Hospice	
Y	Y	CM03HI	Hospice	C	M	3	HI	Commercial	Medical	Hospital / Hospice	Hospice
Y	Y	CM03HP	Hospital	C	M	3	HP	Commercial	Medical	Hospital / Hospice	Hospital
Y		CM04	Medical / Testing / Research Laboratory	C	M	4		Commercial	Medical	Medical / Testing / Research Laboratory	
Y		CM05	Professional Medical Service	C	M	5		Commercial	Medical	Professional Medical Service	
Y		CM05ZS	Assessment / Development Services	C	M	5	ZS	Commercial	Medical	Professional Medical Service	Assessment / Development Services
Y		CN	Animal Centre	C	N			Commercial	Animal Centre		
Y		CN01	Cattery / Kennel	C	N	1		Commercial	Animal Centre	Cattery / Kennel	
Y		CN02	Animal Services	C	N	2		Commercial	Animal Centre	Animal Services	
Y		CN02AX	Animal Quarantining	C	N	2	AX	Commercial	Animal Centre	Animal Services	Animal Quarantining
Y		CN03	Equestrian	C	N	3		Commercial	Animal Centre	Equestrian	
Y		CN03HB	Horse Racing / Breeding Stable	C	N	3	HB	Commercial	Animal Centre	Equestrian	Horse Racing / Breeding Stable
